Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
apollolikesblu,Apollolol,3K,3000,702.3K,702300,124.5K,124500,9.5K,9500,2.1K,2100
areyoukiddingtv,Joey and Steven,4.8M,4800000,4.1M,4100000,648.8K,648800,2.5K,2500,316,316
arfaytb,ARFAYTB,372.7K,372700,894.1K,894100,108.7K,108700,456,456,7.6K,7600
argentinidadnovelera,zoe,91.8K,91800,1.8M,1800000,160.5K,160500,953,953,10.8K,10800
arigameplays,AriGameplays,21.5M,21500000,4.9M,4900000,559K,559000,2.7K,2700,2.3K,2300
artbydemarcusshawn,DemarcusShawn,6.1M,6100000,1.8M,1800000,273.8K,273800,2.7K,2700,2.8K,2800
ashmonterooo,ash,8.9K,8900,2.6M,2600000,437.2K,437200,6.6K,6600,15.4K,15400
aubreyandersonemmons,Heyyyy,1.1M,1100000,1.8M,1800000,320.8K,320800,2K,2000,1.8K,1800
augustogimenez,AugustoGimenez,12.5M,12500000,4.4M,4400000,562.8K,562800,1.2K,1200,538,538
aureliehermansyahatta,Aurelie Hermansyah,7.4M,7400000,1.9M,1900000,190.1K,190100,1.4K,1400,1.3K,1300
aurikatariina,ᴀᴜʀɪ ✨,7.4M,7400000,8.9M,8900000,1M,1000000,4K,4000,3.7K,3700
aussiesdoingthings,Aussies Doing Things,2.7M,2700000,1.2M,1200000,170K,170000,602,602,3.6K,3600
aussiesdoingthings,Aussies Doing Things,2.7M,2700000,1.2M,1200000,170K,170000,602,602,3.6K,3600
austenalexander,Austen Alexander,321.4K,321400,1.3M,1300000,125.7K,125700,1.1K,1100,5.2K,5200
avanireyes,Avani 👽,5.1M,5100000,3.5M,3500000,283.6K,283600,1.9K,1900,542,542
awildani13,NgebisOnline,77.2K,77200,3.7M,3700000,498.4K,498400,5.9K,5900,4.4K,4400
ayaatanjali_,Aya😍,5.9M,5900000,1.6M,1600000,303.1K,303100,1.2K,1200,780,780
ayanakamachi,中町綾,1.4M,1400000,3.2M,3200000,206.5K,206500,1K,1000,1.8K,1800
aybukeyim,Aybüke,1.2M,1200000,3.1M,3100000,162.7K,162700,2.1K,2100,500,500
aydenmekus,AYDEN MEKUS,10.5M,10500000,3.6M,3600000,275.4K,275400,8.6K,8600,1.3K,1300
ayesebastien,Sebastien,7.2M,7200000,2M,2000000,396.5K,396500,2.1K,2100,1.8K,1800
aylin.criss,Aylin,17.3M,17300000,2.6M,2600000,385.7K,385700,2.1K,2100,355,355
badbunny,Bad Bunny,22.2M,22200000,48.9M,48900000,9M,9000000,58.4K,58400,96.7K,96700
baimwong,Baim Wong,8.5M,8500000,2.1M,2100000,130.6K,130600,2K,2000,1.9K,1900
bankkamo46_,bankkamo46_🦖,1.3M,1300000,1.5M,1500000,204.7K,204700,1.1K,1100,3K,3000
bara_ze,BARA Ze,2.5M,2500000,1.8M,1800000,118.8K,118800,4.3K,4300,2.4K,2400
barbaracoura,Bárbara Coura,8.8M,8800000,1.5M,1500000,239.7K,239700,1.4K,1400,816,816
basementgang,Basement Gang,5.4M,5400000,2.9M,2900000,256.2K,256200,1.9K,1900,2.7K,2700
bavariamedic,bavaria.medic,489.7K,489700,7.1M,7100000,553.6K,553600,1.6K,1600,3.4K,3400
bayashi.tiktok,バヤシ🥑Bayashi,28.4M,28400000,6.2M,6200000,713.1K,713100,3.6K,3600,2K,2000
baylenlevine,Baylen Levine,4.2M,4200000,1.2M,1200000,190.3K,190300,2.9K,2900,903,903
bdylanhollis,B. Dylan Hollis,8.6M,8600000,3.5M,3500000,792.8K,792800,4.1K,4100,10.4K,10400
bear,blackbear,1.2M,1200000,2.8M,2800000,284.4K,284400,1.1K,1100,371,371
beberexha,BebeRexha,7.3M,7300000,2M,2000000,278K,278000,3.7K,3700,1.8K,1800
bebopandbebe,BebopandBebe,750.4K,750400,3.3M,3300000,127.2K,127200,7.6K,7600,354,354
beca,Rebeca Barreto,23M,23000000,1.7M,1700000,219.8K,219800,2.2K,2200,1.5K,1500
bellafoodie,Julie & Bella,4.2M,4200000,2.3M,2300000,271.8K,271800,709,709,778,778
bellapoarch,Bella Poarch,90.2M,90200000,6.8M,6800000,921.9K,921900,9.5K,9500,1.2K,1200
bellaretamosa,bella,5.4M,5400000,2.3M,2300000,394.3K,394300,1.1K,1100,709,709
ben_brainard,Benjamin Brainard,2.6M,2600000,1.3M,1300000,296.9K,296900,1.2K,1200,1.1K,1100
benjikrol,Benji Krol,31.1M,31100000,1.6M,1600000,234.7K,234700,1.8K,1800,348,348
berusahalucu,Berusaha Lucu,694K,694000,3.9M,3900000,239.8K,239800,954,954,940,940
bessan_esmail,بيسان اسماعيل - Bessan Ismail,10.4M,10400000,2.5M,2500000,175.7K,175700,2.6K,2600,1.3K,1300
bhaviboi,bhaviboi,279.7K,279700,3.4M,3400000,346.9K,346900,677,677,791,791
bi_131_bi,B.I,1.4M,1400000,1.1M,1100000,232.1K,232100,2K,2000,1.3K,1300
bibidong07,nhện🕷️🕸️(tích xanh lá trời),5.7K,5700,1.9M,1900000,149.8K,149800,6.6K,6600,3.9K,3900
biggieclean,Biggie Clean,4.8M,4800000,3.7M,3700000,364.5K,364500,1.4K,1400,456,456
bilal.hd91,Bilal Haddad | بلال الحدّاد,2.1M,2100000,1.5M,1500000,175.1K,175100,3.1K,3100,1.2K,1200
bilalahy,Bilal,2M,2000000,1.1M,1100000,224.5K,224500,1.3K,1300,2.1K,2100
billlnai,nai,8.5M,8500000,1.7M,1700000,403.7K,403700,958,958,912,912
blacchyna,blacchyna,1.1M,1100000,1.7M,1700000,174.2K,174200,3.7K,3700,1.1K,1100
blacksels,seul,59.1K,59100,620.8K,620800,208.8K,208800,1.8K,1800,5.4K,5400
blakeb628,Blake,568.4K,568400,1.3M,1300000,161.3K,161300,1.1K,1100,10.3K,10300
blondebrunetteredhead,Lamila Petschart,12M,12000000,14.2M,14200000,2.6M,2600000,9.8K,9800,7.5K,7500
boberrybiscuits2,🤾🏼,59.8K,59800,1.5M,1500000,309.9K,309900,1.9K,1900,7.5K,7500
booboothafoocloset,Boo Boo,1.4M,1400000,1.2M,1200000,314.5K,314500,673,673,1.3K,1300
borhen.kachbouri,borhen kachbouri,204.1K,204100,3.6M,3600000,331.2K,331200,926,926,604,604
botakteras,Mike,2.8M,2800000,2.4M,2400000,207.1K,207100,1.7K,1700,529,529
boywithuke,boywithuke,4.9M,4900000,1.7M,1700000,209.3K,209300,2.2K,2200,691,691
brandonrogers,Brandon Rogers,1.5M,1500000,2.7M,2700000,497K,497000,1.7K,1700,4.7K,4700
brandonspam_,Brandon Conner,8M,8000000,1.9M,1900000,380.2K,380200,2.1K,2100,348,348
brentrivera,Brent Rivera,43.9M,43900000,2.9M,2900000,540.2K,540200,2.2K,2200,321,321
bretmanrock,bretmanrock,14.2M,14200000,3.2M,3200000,617.2K,617200,1.7K,1700,1.4K,1400
bricks.and.disorder,Ola 🤜🏾⚡️🤛🏻 Cullen,755.3K,755300,2.5M,2500000,448.1K,448100,1.2K,1200,666,666
briggi_bozzo,Briggitte Bozzo,22M,22000000,3.6M,3600000,335K,335000,388,388,571,571
brilionaire,model kentang🍟,3.9M,3900000,4.1M,4100000,369.6K,369600,2.1K,2100,7K,7000
brittany_broski,Brittany,7M,7000000,1.3M,1300000,236.7K,236700,1.2K,1200,1.4K,1400
brittikitty,Brittany & Lily,12.6M,12600000,3.7M,3700000,550.9K,550900,2.1K,2100,2K,2000
brodywellmaker,Brody Wellmaker,21.1M,21100000,6.3M,6300000,853K,853000,6.1K,6100,16.4K,16400
brookemonk_,Brooke Monk,20.3M,20300000,2.7M,2700000,466.9K,466900,2.2K,2200,1.2K,1200
brunabarbieoficial,Bruna Barbie,18.4M,18400000,2.6M,2600000,168.8K,168800,12K,12000,1.9K,1900
bstchld,BeastChild,4.4M,4400000,2.8M,2800000,362.7K,362700,3.1K,3100,5.2K,5200
bukanstreet,Bukanstreet,1M,1000000,1.3M,1300000,171.5K,171500,2.4K,2400,1.5K,1500
burnaboyofficial,Burna Boy,972.8K,972800,1.3M,1300000,164.5K,164500,1.8K,1800,2.4K,2400
c4tluvr666,kennedy,2.4M,2400000,2.7M,2700000,558.5K,558500,1.4K,1400,1.5K,1500
