S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
147,seventeen17_official,SEVENTEEN,6M,6000000,1.9M,1900000,595.1K,595100,5.3K,5300,4.9K,4900
148,thenataliahms,Natalia Hurtado de Mendoza,73.9K,73900,3.5M,3500000,259.6K,259600,928,928,11.8K,11800
149,loganpaul,Logan Paul,15.9M,15900000,4.8M,4800000,976.9K,976900,1.4K,1400,1K,1000
150,andyarthursmith,Andy Arthur Smith,2.2M,2200000,3.3M,3300000,564.7K,564700,3.3K,3300,2.8K,2800
151,loganpaul,Logan Paul,15.9M,15900000,4.8M,4800000,976.9K,976900,1.4K,1400,1K,1000
152,andyarthursmith,Andy Arthur Smith,2.2M,2200000,3.3M,3300000,564.7K,564700,3.3K,3300,2.8K,2800
153,cauwave,cauwave,1.4M,1400000,2.6M,2600000,396.6K,396600,2.7K,2700,8.2K,8200
154,nicollefigueroaa,Nicolle Figueroa,12.7M,12700000,5.5M,5500000,766.1K,766100,1.8K,1800,882,882
155,brookemonk_,Brooke Monk,23.6M,23600000,5.7M,5700000,620.8K,620800,1.8K,1800,1.3K,1300
156,oldtimehawkey,Old Time Hawkey,6.4M,6400000,2.9M,2900000,445.5K,445500,4.6K,4600,4K,4000
157,mix_151,مكس _Mix,3.4M,3400000,4.8M,4800000,481.9K,481900,3.2K,3200,1.4K,1400
158,mmmjoemele,Joe Mele,22.8M,22800000,5.7M,5700000,848.4K,848400,1.2K,1200,1K,1000
159,lordtrunks,Lord Trunks,2.2M,2200000,4.2M,4200000,386.9K,386900,3K,3000,3.6K,3600
160,paytonking,Payton King,5.3M,5300000,2.6M,2600000,325K,325000,4.8K,4800,7.6K,7600
161,squatch.and.sons_customs,Squatch and Sons Customs,213.6K,213600,7.7M,7700000,471.3K,471300,1.6K,1600,1.2K,1200
162,incorrectlyroce,Roce Ordoñez,8.4M,8400000,3.9M,3900000,678.6K,678600,2.2K,2200,1.7K,1700
163,lifeofclare,Clare Thurkett,42.2K,42200,3.1M,3100000,724.4K,724400,1.2K,1200,3.4K,3400
164,patrickbarnes,Patrick Barnes,2.4M,2400000,2.2M,2200000,417.2K,417200,3.9K,3900,7.3K,7300
165,the.historical,History Footage,201.5K,201500,2.9M,2900000,346.2K,346200,4.8K,4800,5.1K,5100
166,blamerobertjames,blamerobertjames,159.3K,159300,3.5M,3500000,347.2K,347200,4.4K,4400,3.9K,3900
167,pollerocho,pollerocho,3.5M,3500000,3.5M,3500000,567.2K,567200,841,841,4.2K,4200
168,ferchugimenez,Fernanda,7.7M,7700000,4.5M,4500000,825.6K,825600,1.5K,1500,1.1K,1100
169,jaykindafunny8,Jaykindafunny,24.3M,24300000,4.8M,4800000,612.4K,612400,1.3K,1300,2K,2000
170,kulinaria.recetas,AGUS LIPORACE,3.8M,3800000,3.4M,3400000,408.9K,408900,443,443,6.4K,6400
171,cocielo,Júlio Cocielo,5M,5000000,2.3M,2300000,675.9K,675900,2K,2000,4.1K,4100
172,darylsabara,darylsabara,695.7K,695700,3.6M,3600000,628.5K,628500,1.9K,1900,2.1K,2100
173,livefromthepark,Ninjy Dave,369K,369000,2.2M,2200000,130.2K,130200,1K,1000,30.6K,30600
174,saraisthreads,Sarai Marie,1.6M,1600000,2.3M,2300000,462.7K,462700,2.6K,2600,6.1K,6100
175,fhd.artz,فهد آرت || Fahad🎨,2.2M,2200000,4.5M,4500000,288.8K,288800,5.4K,5400,1.4K,1400
176,ig_alongwiranda,🕌🏃,880.7K,880700,3.2M,3200000,129.4K,129400,1.2K,1200,20K,20000
177,initiaraandini,tiara andini,5.1M,5100000,3.8M,3800000,419.6K,419600,2.6K,2600,3K,3000
178,ndshvv,ndshvv,3.2M,3200000,3.8M,3800000,552.4K,552400,3.4K,3400,764,764
179,maiaknight,Maia Knight,8.8M,8800000,4.7M,4700000,720.5K,720500,1.6K,1600,960,960
180,homm9k,ХОМЯК,44.4M,44400000,3.8M,3800000,489.8K,489800,3.6K,3600,1.1K,1100
