Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
512,keemokazi,KEEMOKAZI,31.8M,3.3M,3300000,306.2K,306200,1K,1000,322,322
513,argento_oficial,Argento Oficial,88.9K,1.3M,1300000,140K,140000,1.3K,1300,6.1K,6100
514,chikakiku,🖤🙆🏻‍♀️✨🧚🏻,8.6M,4.5M,4500000,230K,230000,536,536,759,759
515,karenbarreraoficial,Karen Barrera,16.7M,2.7M,2700000,329K,329000,360,360,1.1K,1100
516,omgitsmiahhhhh,miah :),76.9K,1M,1000000,272.3K,272300,3.5K,3500,1.4K,1400
517,realnikocadoavocado,Nikocado Avocado,2M,1.8M,1800000,103.5K,103500,3.6K,3600,3.7K,3700
518,fayneee,Unaverage Student,3.1M,2.4M,2400000,193.1K,193100,2.3K,2300,599,599
519,joe.bartolozzi,Joe Bartolozzi,21M,1.8M,1800000,301.6K,301600,1.9K,1900,492,492
520,adrian.uribe,AdrianUribe,4.1M,1.4M,1400000,187.7K,187700,1.7K,1700,3.3K,3300
521,abo.zizo,۩♥۩ عائلة ابو زيزو ۩♥۩,6M,3.5M,3500000,174.1K,174100,843,843,1.3K,1300
522,oldtimehawkey,Old Time Hawkey,6.7M,1.4M,1400000,207.4K,207400,2.1K,2100,2.4K,2400
523,maiaknight,Maia Knight,8.8M,2.7M,2700000,485.7K,485700,700,700,301,301
524,incorrectlyroce,Roce Ordoñez,9.2M,2.4M,2400000,385.7K,385700,779,779,634,634
525,manhtienkhoi_,Mạnh Tiến Khôi 🐯,5.3M,2.1M,2100000,170.1K,170100,2.5K,2500,1.1K,1100
526,vhackerr,Vinnie,15.2M,1.6M,1600000,263.3K,263300,2.2K,2200,856,856
527,olivertree,Oliver Tree,14.5M,2.9M,2900000,253.6K,253600,1.2K,1200,568,568
528,cravityofficial,CRAVITY,1.8M,1.3M,1300000,262.6K,262600,2.3K,2300,1.6K,1600
529,millyshaparoni,Milly Shapiro,466.7K,3.1M,3100000,444.3K,444300,646,646,282,282
530,fionntime,FionnTime,2.7M,1.7M,1700000,287.9K,287900,1.4K,1400,1.3K,1300
531,tarynbeeman,Taryn Beeman,62.2K,1.4M,1400000,263.7K,263700,1.1K,1100,2.3K,2300
532,yurielkysojeda,Yurielkys Ojeda 🕷,15.7M,1.7M,1700000,246.3K,246300,967,967,2K,2000
533,caseysimpson,Casey Simpson✨,10.1M,1.7M,1700000,379K,379000,1.1K,1100,938,938
534,anggun_supriadi91,anggun✨,19.4M,5.5M,5500000,143.8K,143800,969,969,628,628
535,babyziela,puteriakie33,1.1M,1.6M,1600000,65K,65000,7.6K,7600,4.8K,4800
536,tai.tl2,tai_tl,1.1M,1M,1000000,201.4K,201400,2K,2000,4.2K,4200
537,douhalaribiii,Douha laribii,9.7M,2.6M,2600000,237.8K,237800,1.5K,1500,533,533
538,dan_churchill,The Healthy Chef,407.1K,3.4M,3400000,452K,452000,654,654,154,154
539,ryanmackmusic,Ryan Mack,1.8M,1.2M,1200000,163.2K,163200,1.1K,1100,5.5K,5500
540,ivancornejooo,Ivan bruh,1.6M,902.7K,902700,224.7K,224700,3.2K,3200,2.9K,2900
541,lana_mohd89,𝑳𝑨𝑵𝑨 🦋,6.2M,2M,2000000,138K,138000,2.1K,2100,2.5K,2500
542,jujumaoo,Juju,701.5K,2.4M,2400000,254.6K,254600,671,671,1.3K,1300
543,petruskaksurtep,Petruska,1.7M,2.2M,2200000,300.2K,300200,1K,1000,824,824
544,justthenobodys,JustTheNobodys,9.2M,2.7M,2700000,171.8K,171800,1.8K,1800,847,847
545,andyslife247,Andy’s Life,2.2M,2.5M,2500000,228.7K,228700,1.6K,1600,537,537
546,fhd.artz,فهد آرت || Fahad🎨,2.4M,2.5M,2500000,164.5K,164500,1.1K,1100,1.9K,1900
547,fahryy20,A Fahry,1.8M,1.9M,1900000,345K,345000,1.3K,1300,574,574
548,grandma_droniak,grandma_droniak,6M,1.5M,1500000,218.2K,218200,1.4K,1400,2.3K,2300
549,letskwoowk,KWOOWK with Kevin,3.3M,1.5M,1500000,175.7K,175700,4K,4000,597,597
550,mamatot99,Opie,1.7M,1.2M,1200000,162.9K,162900,5.8K,5800,622,622
551,deshawnharrisss,Deshawn ✪,2.1M,1.1M,1100000,190.9K,190900,1.4K,1400,4.2K,4200
552,ryanhdlombard,Ryan Lombard,9.8M,1.9M,1900000,362.8K,362800,1K,1000,723,723
553,nadia,Nadia,3.3M,2.5M,2500000,172.6K,172600,1.7K,1700,1.1K,1100
554,juliano,juliano,11.4M,2.8M,2800000,322.7K,322700,772,772,574,574
555,sonrixs_,Sonrixs,15.2M,3.5M,3500000,358.1K,358100,526,526,410,410
556,pimpiriya1,PIM PIRIYA,1.5M,2.1M,2100000,411.2K,411200,696,696,654,654
557,nada_m7amed,دودا🦹🏻🤍,6.6M,2.3M,2300000,215.8K,215800,928,928,1.4K,1400
558,zainah.mb,Zainah & Minnie,2.1M,1M,1000000,241.3K,241300,996,996,3.8K,3800
559,rl.carbona,rl carbona,1.3M,1.7M,1700000,257.3K,257300,1.5K,1500,1.1K,1100
560,msshiandmrhe,Ms Shi & Mr He,3.9M,2.5M,2500000,278.1K,278100,924,924,719,719
561,yunggravy,Yung Gravy 🍯,7M,1.8M,1800000,313.1K,313100,925,925,1.1K,1100
562,kaylamalecc,kayla,9.7M,1.9M,1900000,297.7K,297700,1.8K,1800,155,155
563,twinny__girls,Prisma_Princy👭,7.3M,1.9M,1900000,181.7K,181700,2.5K,2500,677,677
564,beca,beca,27.5M,2.3M,2300000,237.2K,237200,1.4K,1400,635,635
565,danivallem,Dani Valle,5.4M,1.1M,1100000,79.5K,79500,589,589,12.1K,12100
566,taylorrandsoph,TAYLOR & SOPHIA,3.9M,1.8M,1800000,266.6K,266600,827,827,1.5K,1500
567,analuciadominguezactriz,Analuciadominguez,3.4M,1.8M,1800000,136K,136000,428,428,4.2K,4200
568,thaycouuto,Thay Couto,4.2M,1.8M,1800000,344.8K,344800,923,923,832,832
569,otakoyakisoba,otakoyakisoba,16M,2M,2000000,181.6K,181600,676,676,2.3K,2300
570,aurikatariina,ᴀᴜʀɪ ✨,8.1M,3.4M,3400000,266.6K,266600,474,474,722,722
571,krizzsolano,Krizz Solano,90K,1.1M,1100000,194.5K,194500,339,339,4.7K,4700
572,qpark,Q Park,34.6M,2.7M,2700000,183.3K,183300,1K,1000,1.2K,1200
573,hiib531,هبة اليوُسف,1M,5.2M,5200000,104.8K,104800,1.1K,1100,909,909
574,dilanjaniyar_2,Emang Dilan namanya,2.7M,2.1M,2100000,229.9K,229900,1.5K,1500,688,688
575,h2woofficial,H2WO,5M,3.1M,3100000,275.6K,275600,641,641,636,636
576,xibibrothers,Xibi Brothers,8.9M,2.9M,2900000,247.3K,247300,705,705,786,786
577,khairulaming,Khairulaming,2.3M,1.9M,1900000,182.7K,182700,1.4K,1400,1.7K,1700
578,jennialarcon_,Jenni Alarcon,4M,1.9M,1900000,368K,368000,978,978,536,536
579,thepsh8,Psh8,1.1M,1.3M,1300000,241.3K,241300,1.6K,1600,1.7K,1700
580,topperguild,Topper Guild,30.4M,3.2M,3200000,165.7K,165700,1.8K,1800,209,209
581,maluborgesm,MALU BORGES,3.7M,1.2M,1200000,214.2K,214200,3.3K,3300,775,775
582,kunaguero,Sergio Agüero,8.5M,2.6M,2600000,258K,258000,1.1K,1100,499,499
583,sanzone,Michael Sanzone,3.2M,2.5M,2500000,382K,382000,434,434,659,659
584,lauralove5514,LauraLove,7.8M,1.9M,1900000,315.3K,315300,1.4K,1400,417,417
585,www.luluca,luluca 💗,2.9M,1.2M,1200000,121.5K,121500,5.2K,5200,1.9K,1900
586,philiptanasas,philiptanasas,9.5M,3.1M,3100000,266.1K,266100,815,815,441,441
587,cemresolmaz,cemre solmaz,10.5M,2.1M,2100000,123.6K,123600,2.9K,2900,1.1K,1100
588,trevorwallace,trevor wallace,9.3M,1.3M,1300000,242.1K,242100,709,709,2.6K,2600
589,tavi_castro,Tavi Castro,308.4K,1.9M,1900000,219.4K,219400,1.1K,1100,1.4K,1400
590,jakekrantz,Jake Krantz,2.5M,1.1M,1100000,187.2K,187200,687,687,4.2K,4200
591,rodigarrido,Rodi Garrido,2M,2.2M,2200000,114.7K,114700,469,469,3.6K,3600
592,noholito,Noholito,5.6M,1.8M,1800000,240.6K,240600,1.3K,1300,1.1K,1100
593,yasincengiz38,YasinCengiz,4.1M,2.1M,2100000,112.8K,112800,1.4K,1400,2.9K,2900
594,carenalegria,Caren y Coco ♥️,3M,2.1M,2100000,139.7K,139700,2.4K,2400,1.1K,1100
595,dobretwins,Lucas and Marcus,37.1M,2.8M,2800000,227.5K,227500,1.2K,1200,406,406
596,nazormaya,Maya Nazor,6.3M,3.6M,3600000,271K,271000,837,837,206,206
597,karenkardasha,Karenkardasha,2.1M,1.4M,1400000,121K,121000,3.7K,3700,2.4K,2400
598,pedroarcafra,PEDRO ARCAFRA,3.1M,930.9K,930900,67.5K,67500,1.4K,1400,14.8K,14800
599,brilionaire,Bang Bio✨,4.8M,1.5M,1500000,209.7K,209700,684,684,2.5K,2500
600,com.yamato0515,【コムドット】やまと,1.9M,1.3M,1300000,158.7K,158700,3.6K,3600,1.3K,1300
601,ryan.maxwell22,Ryan Maxwell,3.1M,1.4M,1400000,200.1K,200100,510,510,3.1K,3100
602,tuckot,tuck,2.8M,892.7K,892700,140.2K,140200,1K,1000,7K,7000
603,kanwal.135,Kanwalay🎶,17.1M,2.7M,2700000,249.9K,249900,978,978,503,503
604,darklightcr,Dark Light,2.1M,2.4M,2400000,114.1K,114100,899,899,2.8K,2800
605,vienhz,ᴍᴇʟᴠɪɴʜᴀꜱᴀɴ☯,29.8K,2.4M,2400000,222.7K,222700,990,990,856,856
606,bessan_esmail,بيسان اسماعيل - Bessan Ismail,12.1M,2.3M,2300000,137.8K,137800,1.9K,1900,1.2K,1200
607,wigofellas,wigofellas,35M,2.9M,2900000,172.1K,172100,920,920,1.1K,1100
608,victormelo,Victor Melo,22.9M,1.7M,1700000,260.1K,260100,1K,1000,1.2K,1200
609,abo_qamae,ابو قماع🙂❤️,2.2M,2M,2000000,177.6K,177600,1.6K,1600,1.2K,1200
610,junpei.zaki,junpei zaki,15.2M,924.9K,924900,73K,73000,14.3K,14300,87,87
611,connorprice__,Connor Price,3.7M,2M,2000000,240.8K,240800,1.2K,1200,811,811
612,chris,Chris Olsen,9.3M,2.3M,2300000,333.1K,333100,816,816,441,441
613,sidetalknyc,Sidetalk,4.4M,1.2M,1200000,190.3K,190300,476,476,3.7K,3700
614,boywithuke,boywithuke,6.8M,1.4M,1400000,310.5K,310500,1.9K,1900,343,343
615,n.vv3,ناصر || 🇸🇦 alsubaie,5.1M,1.8M,1800000,106.5K,106500,3K,3000,2K,2000
616,siganviendo59,jeancarlo MTB,11.2M,2.4M,2400000,187.9K,187900,1.3K,1300,856,856
617,forrestsautoreviews,Forrest Jones,5.6M,1.4M,1400000,194.4K,194400,1.2K,1200,2.3K,2300
618,althea420,ALTHEA😈,2M,1.4M,1400000,109.7K,109700,4.1K,4100,2.1K,2100
619,itsjaylaaw,🖤🖤🖤,3.1M,1.3M,1300000,233K,233000,2.2K,2200,945,945
620,camidelossan,Cami de los Santos,381.8K,1.6M,1600000,179.5K,179500,805,805,2.5K,2500
621,t0edirt,Lindsey,161.3K,1.1M,1100000,260.7K,260700,365,365,2.9K,2900
622,liam_cast.oficial,Liam Tha Lion,3.6M,1.6M,1600000,273.1K,273100,562,562,1.6K,1600
623,sittnaing20,Sitt Naing,638.2K,2.7M,2700000,237.5K,237500,976,976,494,494
624,emmanuelmacron,Emmanuel Macron,3.5M,1.4M,1400000,119K,119000,5K,5000,802,802
625,1_alkaisr_1,🔱🌹القيصر🌹🔱,12.8M,2M,2000000,175.7K,175700,816,816,1.8K,1800
626,mateuspesce,Mateus pesce,7.6M,1.4M,1400000,172K,172000,1.2K,1200,2.8K,2800
627,ecrinsucoban,Ecrin su çoban,1.4M,2.2M,2200000,137.6K,137600,2.4K,2400,612,612
628,binochemtienganh,Bino chém tiếng Anh,685.9K,2.1M,2100000,150.6K,150600,2.6K,2600,331,331
629,danielarodrice,Daniela Rodrice,11.2M,2.2M,2200000,384.4K,384400,724,724,372,372
630,burnaboyofficial,Burna Boy,2.8M,1.6M,1600000,184.1K,184100,1.6K,1600,1.5K,1500
631,d3zmachado,GG🌟,1.2M,1.7M,1700000,281.6K,281600,1.4K,1400,465,465
632,noeselmismo,Noé,1.3M,1M,1000000,147.5K,147500,1.1K,1100,4.8K,4800
633,aemilst,ems,1.8M,1.9M,1900000,214.6K,214600,1.2K,1200,1K,1000
634,padillamarilis,padillamarilis,1M,2.4M,2400000,131.9K,131900,1.2K,1200,1.6K,1600
635,fidias0,Fidias,1.1M,2.7M,2700000,306.4K,306400,1K,1000,78,78
636,gemelasortega,Gemelas Ortega,19.4M,3.8M,3800000,340.6K,340600,396,396,290,290
637,philipdefranco,Philip DeFranco,2.3M,1.5M,1500000,166.7K,166700,2.7K,2700,851,851
638,elrodcontreras,ROD🫠,42.2M,2.3M,2300000,269.7K,269700,1.2K,1200,232,232
639,londokampung.official,Londokampung,806K,4.3M,4300000,249.1K,249100,560,560,270,270
640,karinateixeeira,Karina Teixeira,1.9M,1.4M,1400000,190K,190000,2.2K,2200,1.2K,1200
641,lamvlog,Lâm Vlog,1.5M,2.4M,2400000,207.2K,207200,1.5K,1500,264,264
642,ironwanda,jayden,226.2K,1.8M,1800000,288.6K,288600,1.1K,1100,581,581
643,lewiscapaldi,Lewis Capaldi,4.2M,1.7M,1700000,199.3K,199300,1.1K,1100,1.5K,1500
644,lizzza,Liza Koshy,30.3M,1.6M,1600000,357.8K,357800,783,783,733,733
645,crisdevilgamer7,CrisDevilGamer,5.1M,3.1M,3100000,195.9K,195900,1.2K,1200,264,264
646,ritaspam15,ritaspam15,1.8M,2M,2000000,429.5K,429500,264,264,723,723
647,anas_fikry,Anas fikry,12.4M,2.4M,2400000,143.9K,143900,1.1K,1100,1.4K,1400
648,tariqjamilofcl,Tariq Jamil,2.9M,985.9K,985900,150.1K,150100,646,646,5.2K,5200
649,dannygrubs,Danny Kim,4M,2.7M,2700000,314K,314000,654,654,364,364
650,jayrscottyy,Jay,3.1M,924K,924000,226.8K,226800,1.9K,1900,2.2K,2200
651,nardwuar,Nardwuar,5M,1.4M,1400000,316.3K,316300,1.5K,1500,483,483
652,doombreaker03,DOOMBREAKER,387.7K,1.1M,1100000,148K,148000,1.2K,1200,4.1K,4100
653,thehypehouse,The Hype House,21.3M,2.2M,2200000,339.6K,339600,831,831,340,340
654,kimandnorth,Kim and North,9.6M,4M,4000000,276.5K,276500,0,0,772,772
655,fela.austin,Fela Austin,3.4M,2.4M,2400000,203.1K,203100,1.5K,1500,247,247
656,kangsoyeon_,강소연,512.1K,1.5M,1500000,202.7K,202700,2.3K,2300,619,619
657,barbaracoura,Bárbara Coura,10.1M,1.7M,1700000,246.7K,246700,1.2K,1200,793,793
658,jakethes.d,Jake❤️,825.5K,1.8M,1800000,214.8K,214800,748,748,1.4K,1400
659,fujiiian,Fujiiian,16.9M,2.6M,2600000,237K,237000,800,800,597,597
660,hyunggiii,✨,46.6K,952.7K,952700,226.3K,226300,1.1K,1100,2.8K,2800
661,ehbeefamily,Eh Bee Family,11.8M,1.5M,1500000,284.5K,284500,1.5K,1500,476,476
662,theovon,Theo Von,3.3M,1.4M,1400000,176.1K,176100,1.5K,1500,1.9K,1900
663,sturniolo.triplets,Sturniolo’s,5.1M,1.3M,1300000,259K,259000,1.9K,1900,615,615
664,eebruu____,eebruu__,2.9M,2.5M,2500000,231.3K,231300,530,530,916,916
665,alpha.pookie,Paul Karpov,676.7K,1M,1000000,154.8K,154800,3.4K,3400,2K,2000
666,na_rouch,누하일라,156.3K,2.8M,2800000,196.8K,196800,936,936,596,596
667,terjiah_loui,terjiah_loui,2.6M,788.6K,788600,194.6K,194600,1.2K,1200,4.3K,4300
668,emilyfauver,emily&ella,4M,2M,2000000,324.4K,324400,390,390,894,894
669,ekosaputra20,Eko Saputra,8.6M,2.9M,2900000,215.9K,215900,930,930,398,398
670,riaricis,Ria Ricis,30.2M,2.2M,2200000,251K,251000,851,851,651,651
671,imlucastho,ImLucasTho,339.6K,1.3M,1300000,224.3K,224300,742,742,2.1K,2100
672,japanfriends,Japan and friends,2.5M,2.2M,2200000,246.9K,246900,427,427,1.1K,1100
673,benjikrol,Benji Krol,32.9M,1.4M,1400000,206K,206000,2.5K,2500,318,318
674,firefighterfenton,Firefighter Fenton,404.3K,665.9K,665900,82K,82000,1.1K,1100,13.9K,13900
675,sadieemckennaa,sadie,1.5M,2.3M,2300000,271.7K,271700,419,419,890,890
676,vida.perruna,Vida Perruna,2.7M,2M,2000000,209.5K,209500,778,778,1.2K,1200
677,shailasabt,Shailasabt,606.6K,1.4M,1400000,23.2K,23200,0,0,25K,25000
678,jindaouis,Louisa Jindaoui,2.5M,2M,2000000,254.2K,254200,733,733,862,862
679,anuel,ANUEL,2.7M,1.4M,1400000,191.7K,191700,1.3K,1300,1.6K,1600
680,duyyy.real.channel,Ngô Đức Duy,5.6M,2.8M,2800000,214.6K,214600,839,839,532,532
681,itsceceh,Casey,6.7M,2.4M,2400000,247.6K,247600,729,729,626,626
682,adamrayokay,ADAMRAY,7.2M,1.8M,1800000,216.3K,216300,1.1K,1100,973,973
683,chengkhen2k2,Cheng🦐,4M,2.5M,2500000,218.4K,218400,630,630,837,837
684,bryan_sanchez___,bryan_sanchezzz,740.5K,1.5M,1500000,195.7K,195700,321,321,2.4K,2400
685,byefarzy,Farzy,1.9M,1.4M,1400000,203.7K,203700,1.6K,1600,1.3K,1300
686,rug,FaZe Rug,9.7M,2.1M,2100000,202.8K,202800,1.6K,1600,245,245
687,kingrolluss,Rolls,916.7K,1.7M,1700000,180.8K,180800,481,481,2.2K,2200
688,turmadavalzinhaoficial,Turma da Valzinha ✨,9.6M,1.4M,1400000,146.5K,146500,1.3K,1300,2.5K,2500
689,thejoeyswoll,Joey Swoll,6M,1.6M,1600000,256.6K,256600,1.6K,1600,285,285
690,mariah_amato,Mariah Amato,2.3M,1.3M,1300000,218.7K,218700,784,784,2.1K,2100
691,alex.boychuck,alex,742.4K,1.5M,1500000,97.5K,97500,2.5K,2500,2.9K,2900
692,shira_flame,☁️Sweet B. Girl☁️,408.2K,935.7K,935700,206.8K,206800,1.3K,1300,2.8K,2800
693,jayfujiwara,English with Jay,2.1M,2.8M,2800000,183.3K,183300,670,670,865,865
694,rucenuenda1,Ruce Nuenda,2.8M,2.3M,2300000,334.3K,334300,743,743,302,302
695,agustinlocutor,agustinlocutor,2M,915.9K,915900,123.8K,123800,827,827,6.1K,6100
696,ne_4_,نيف السيد,3.5M,1.6M,1600000,111.5K,111500,3.3K,3300,1.3K,1300
697,gingerbilly1,Ginger Billy,6.5M,977.6K,977600,106K,106000,695,695,6.8K,6800
698,millane,millane,6.2M,2.2M,2200000,381.7K,381700,519,519,396,396
699,sorrisoda2,Sorriso🌐,555.6K,1.2M,1200000,128.4K,128400,963,963,4.1K,4100
700,cinetimmy,sophia <3,14.5K,866.2K,866200,243.3K,243300,1.8K,1800,1.8K,1800
701,brunoliima019,Bruno Lima,7.5M,2.3M,2300000,239.5K,239500,447,447,937,937
702,itspierreboo,Pierre,13.2M,2.2M,2200000,249.4K,249400,856,856,530,530
703,tonylopez,Tony Lopez,23.2M,1.8M,1800000,202.3K,202300,1.6K,1600,510,510
704,steven_he,Steven He,6M,1.4M,1400000,248.8K,248800,469,469,1.7K,1700
705,cellat36,cellat36,8.6M,1.9M,1900000,97.2K,97200,2.4K,2400,1.7K,1700
706,shahdzn,Shahd Naser,1.8M,2.3M,2300000,142.8K,142800,702,702,1.6K,1600
707,celinaspookyboo,CelinaSpookyBoo,26.5M,2.8M,2800000,178.9K,178900,628,628,870,870
708,patec_wariatec,Patec_Wariatec,1.2M,1.3M,1300000,178.2K,178200,842,842,2.4K,2400
709,esen_alva,Esen,6M,1.6M,1600000,253.2K,253200,734,734,1.1K,1100
710,dindahw14,Dinda Hauw,4.2M,2.7M,2700000,168.6K,168600,653,653,991,991
711,narins.beauty_,Narins Beauty,3.3M,3.2M,3200000,129.6K,129600,1.1K,1100,713,713
712,gakbakaljoget,TRETAN MUSLIM,228.7K,1.9M,1900000,156.3K,156300,1.7K,1700,820,820
713,duolingobrasil,Duolingo Brasil 🇧🇷,1.6M,902.2K,902200,130.3K,130300,5.4K,5400,929,929
714,matheusyurley,Matheus Yurley,8.7M,2.9M,2900000,260.1K,260100,600,600,383,383
715,sebasmorenooo,Sebastian Moreno 📸,6.1M,1.7M,1700000,188.6K,188600,1.5K,1500,791,791
716,songdoohee_444,ซอง ดูฮี (ช่องหลัก),4.4M,2.3M,2300000,195.5K,195500,1.3K,1300,295,295
717,ratuauliaa22,ratuauliatp,13.4M,2.2M,2200000,237.2K,237200,784,784,622,622
718,dermdoctor,DermDoctor | Dr. Shah,17.4M,4M,4000000,164.2K,164200,623,623,507,507
719,fueyruss,Fueyruss,4.9M,3.3M,3300000,238.8K,238800,725,725,204,204
720,bonecao,bonecão,1.7M,1.6M,1600000,195K,195000,673,673,1.7K,1700
721,saraisthreads,Sarai Marie,2.2M,1.1M,1100000,205.3K,205300,1.1K,1100,2.2K,2200
722,vivi,Vivi,13.4M,1.9M,1900000,232.7K,232700,1.2K,1200,432,432
723,nlechoppamusic,NLE choppa,13.8M,2.1M,2100000,182K,182000,1.3K,1300,550,550
724,ali.samir11,علي سمير,2.7M,1.5M,1500000,181.4K,181400,2.1K,2100,586,586
725,fardows4,fardows💃🏽,2.5M,1.1M,1100000,182.5K,182500,2.7K,2700,840,840
726,lilyxgarcia,Lily Garcia,13.6M,1.8M,1800000,308.4K,308400,582,582,711,711
727,drphil,Dr. Phil,7.6M,10.1M,10100000,53.6K,53600,778,778,546,546
728,marquis.culton,Marquis Culton,712.3K,2.1M,2100000,343.7K,343700,754,754,239,239
729,chris_thememegod,Chris Tyson,9.5M,1.6M,1600000,189.9K,189900,2.2K,2200,160,160
730,abbduuu21,بوشنب⭐️,14.5M,2.3M,2300000,174.3K,174300,939,939,841,841
731,itssassagurl,Sassa Gurl,7.1M,1.6M,1600000,221.9K,221900,1.1K,1100,888,888
732,allan_jeon,Allan Jeon,6.3M,1.8M,1800000,202.6K,202600,1.3K,1300,684,684
733,ujoaozinho,uJoãozinho 🤘🏻,9M,2.8M,2800000,447.5K,447500,273,273,292,292
734,blaucomedy,Michael Blaustein,1.9M,1.5M,1500000,239.4K,239400,250,250,1.7K,1700
735,djadoni,Djadoni,1.5M,1.7M,1700000,84.6K,84600,156,156,4.7K,4700
736,thatlittlepuff,ThatLittlePuff,32.7M,2.7M,2700000,204.4K,204400,534,534,735,735
737,deborahyowa,Deborah yowa,16.8M,3.2M,3200000,108.4K,108400,1.2K,1200,797,797
738,_nch04,Nguyễn Hải,4.9M,3.4M,3400000,179.5K,179500,712,712,432,432
739,tuckerbudzyn,tuckerbudzyn,10.7M,1.7M,1700000,258.2K,258200,648,648,979,979
740,yonumo,ni ☆,270.8K,796.9K,796900,219.5K,219500,1.6K,1600,2.3K,2300
741,thehealchef,Harry Heal,3.2M,1.4M,1400000,181K,181000,671,671,2K,2000
742,mirceabravo,Mircea Bravo,860.7K,1.6M,1600000,93.2K,93200,454,454,4.1K,4100
743,gzfoodqood,Foodqood by Giallozafferano,19.2M,2.5M,2500000,69.5K,69500,626,626,3.3K,3300
744,mas_nizar,IG: nizar_abzhr31,7.2M,1.8M,1800000,254.6K,254600,1.2K,1200,343,343
745,alebardo19,Abelardo Bobadilla,5M,1.3M,1300000,131.7K,131700,1.3K,1300,2.9K,2900
746,thanhdoanshop,Thanh Đoàn✅,729.8K,2.2M,2200000,101.5K,101500,2.6K,2600,464,464
747,steveioe,Steveioe,11.1M,1.4M,1400000,257.8K,257800,853,853,1.1K,1100
748,bigtugg,Tucker Lindgren,2.3M,1.1M,1100000,163.9K,163900,1.4K,1400,2.4K,2400
749,fritzdoesart,fritzdoesart,8.7M,3.1M,3100000,155.5K,155500,1.1K,1100,305,305
750,shammiltd,Shammi,6.4M,1.9M,1900000,150K,150000,1K,1000,1.3K,1300
751,nikicumerlato,Nicole Cumerlato,1.1M,2.5M,2500000,278.7K,278700,341,341,617,617
752,cristorata7,Cristorata,1.6M,1.8M,1800000,146.6K,146600,958,958,1.6K,1600
753,melfouad,Melfouad,1.7M,1.3M,1300000,88.7K,88700,1.9K,1900,3.8K,3800
754,iben_ma,Iben M.A.,10M,1.6M,1600000,114.7K,114700,3.4K,3400,326,326
755,paigetaylor.s,Paige Taylor,5.1M,1.8M,1800000,316.8K,316800,810,810,354,354
756,mikaelatesta,Mikaela Testa,2.2M,1.5M,1500000,207.4K,207400,1.5K,1500,730,730
757,jorgito_guayaco_o,Jorge naranjo peñafiel,4.5M,1.3M,1300000,40.8K,40800,519,519,11.9K,11900
758,saraecheagaray,sara,7.5M,1.9M,1900000,337.7K,337700,698,698,323,323
759,danielswall,Daniel Wall,1.6M,1.3M,1300000,250.8K,250800,769,769,1.2K,1200
760,lagranjadelborrego,La granja del borrego,14.2M,2.1M,2100000,324.6K,324600,718,718,237,237
761,fatcomedy1,FATCOMEDY,1.4M,1.9M,1900000,49.6K,49600,515,515,6.4K,6400
762,analisseworld,Analisseworld,10.6M,1.7M,1700000,316.7K,316700,570,570,635,635
763,bp_tiktok,blackpinkofficial,37.2M,1.4M,1400000,173.3K,173300,2K,2000,806,806
764,jaden,Jaden,1.8M,3.5M,3500000,134.6K,134600,1.2K,1200,193,193
765,aylivaofficial,A Y L I V A🎙,873.2K,1.3M,1300000,212.1K,212100,1.6K,1600,739,739
766,doctormiguelpadilla,Doctor Miguel,6.5M,991.4K,991400,157.4K,157400,1.9K,1900,2.2K,2200
767,tabithaswatosh,Tabs,13.1M,2.1M,2100000,331.5K,331500,635,635,293,293
768,roportajadam,Mahsun Karaca,1.3M,2.2M,2200000,107.2K,107200,486,486,2.3K,2300
769,jashlem,Jash,26.8M,1.8M,1800000,310.8K,310800,729,729,422,422
770,firstnamechris,Chris Punsalan,1.4M,1.6M,1600000,239.9K,239900,1.2K,1200,461,461
771,federalplumbing,IvándeFederalplumbing,956.9K,2.1M,2100000,136.8K,136800,404,404,1.9K,1900
772,jordanavucetic,jordanavucetic,3.2M,1.5M,1500000,288.7K,288700,1.2K,1200,320,320
773,rayanfahmi,Rayoon,4M,2M,2000000,146.3K,146300,1.6K,1600,557,557
774,dovecameron,Dove Cameron,12.4M,1.5M,1500000,200.2K,200200,1.6K,1600,502,502
775,lordtrunks,Lord Trunks,4.9M,1.6M,1600000,195.7K,195700,947,947,1.1K,1100
776,edwinmendozza,𝖊𝖉𝖜𝖎𝖓,15.3M,2.7M,2700000,363.3K,363300,405,405,256,256
777,jefripradewa,Jefri Pradewa,246.4K,925K,925000,118.3K,118300,1.6K,1600,4.2K,4200
778,mexicocookingclub,Calixto Serna,11.7M,2.3M,2300000,131.1K,131100,407,407,1.7K,1700
779,jzgarcia,Jz Garcia,2M,996.7K,996700,200.8K,200800,880,880,2.3K,2300
780,jorgitoparrillero,Jorgito Parrillero,1.6M,1.4M,1400000,72.2K,72200,327,327,5.9K,5900
781,ilaydasherifi,ilaydasherifi,402.8K,1.8M,1800000,271.5K,271500,503,503,801,801
782,its.michhh,Michel Chavez,33.7M,2M,2000000,275.6K,275600,933,933,198,198
783,mndiaye_97,mndiaye_97,15.6M,1.3M,1300000,236.4K,236400,1K,1000,1.1K,1100
784,leanadeeb,Leana Deeb,11.6M,1.8M,1800000,270.6K,270600,587,587,724,724
