Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
108,kervo.dolo,Kervo.dolo,10.5M,3.1M,3100000,515.7K,515700,3.1K,3100,5.7K,5700
109,winnermaxyt,WinnerMax,7.1M,6.4M,6400000,421.5K,421500,1.7K,1700,3.4K,3400
110,olisboa,LISBOA,3.9M,4.3M,4300000,740.3K,740300,1.1K,1100,3K,3000
111,imeyhou,Meyden,5M,4.8M,4800000,802.4K,802400,2.7K,2700,658,658
112,lilireinhart,Lili Reinhart,5.6M,4.2M,4200000,602.9K,602900,1.8K,1800,3.3K,3300
113,therealemilylin,Emily Lin,238.9K,5.2M,5200000,655.3K,655300,3.5K,3500,258,258
114,nourmar5,nourmar5,14.7M,3.1M,3100000,190.4K,190400,10K,10000,11.6K,11600
115,selenagomez,Selena Gomez,44.9M,4.5M,4500000,545.6K,545600,3.7K,3700,1.3K,1300
116,kumulator,Kumulátor zábavy,123K,2.3M,2300000,207K,207000,4.6K,4600,20.8K,20800
117,spencer_serafica,Xspencer,14.1M,4.2M,4200000,497.6K,497600,3.7K,3700,2.1K,2100
118,jesusnalgas,JESUSNALGAS,3.9M,3.4M,3400000,325.9K,325900,4.3K,4300,6.3K,6300
119,makeup_rhk,makeup_rhk,860.3K,4.3M,4300000,812.8K,812800,556,556,2.8K,2800
120,duncanyounot,Duncan Joseph,4.4M,2.9M,2900000,560.1K,560100,2.7K,2700,4.2K,4200
121,sijad_qasim,سجاد قاسم,2.3M,5.9M,5900000,171.6K,171600,4K,4000,6.9K,6900
122,lance210,Lance Stewart,22.7M,4.2M,4200000,420K,420000,1.8K,1800,4.3K,4300
123,ivanaalawi,Ivana Alawi,8.6M,5.9M,5900000,606.5K,606500,2K,2000,956,956
124,muluerror,"Nama gue Rian, tp bkn babayo",672.8K,6.1M,6100000,395.6K,395600,2.1K,2100,2.3K,2300
