Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
spider_slack,spider_slack,31.6M,31600000,2.6M,2600000,314.3K,314300,1.7K,1700,1.7K,1700
realmadrid,Real Madrid C.F.,11.7M,11700000,2.1M,2100000,300.5K,300500,3K,3000,1.5K,1500
leanadeeb,Leana Deeb,4.2M,4200000,2.6M,2600000,426.9K,426900,1K,1000,1.5K,1500
jonathanbecerraoficial,Jonathan Becerra,1.2M,1200000,2.3M,2300000,173.4K,173400,1.5K,1500,5.5K,5500
officialturk,Officialturk,26.1K,26100,1.1M,1100000,237K,237000,7.5K,7500,3.4K,3400
isabuenox,Isabelle Bueno,2.8M,2800000,1.9M,1900000,410.4K,410400,2.5K,2500,1K,1000
peachypollo,Emillee,1.4M,1400000,2.3M,2300000,480.6K,480600,749,749,1.7K,1700
monabouchon_,Monabouchon,139.1K,139100,1.5M,1500000,127.6K,127600,468,468,13.7K,13700
monabouchon_,Monabouchon,139.1K,139100,1.5M,1500000,127.6K,127600,468,468,13.7K,13700
reymbayang,Rey,3.3M,3300000,2.3M,2300000,273.3K,273300,1.9K,1900,2.4K,2400
noahbeck,noah beck,32.8M,32800000,2.9M,2900000,342.7K,342700,2.3K,2300,439,439
limaunipisofficial,limaunipisofficial,602.6K,602600,1.5M,1500000,107.7K,107700,1.3K,1300,15.4K,15400
therealhammytv,TheRealHammyTV,13.3M,13300000,3.7M,3700000,156.5K,156500,884,884,3.8K,3800
matheusevitoriaofc,Matheus e Vitoria,6.9M,6900000,2M,2000000,317.9K,317900,2.2K,2200,2K,2000
7iprast,𝗶𝗡𝗦𝗢𝗠,3.6M,3600000,1.7M,1700000,163.5K,163500,1.1K,1100,8.6K,8600
oli_natu,Oli Natu,7.9M,7900000,2.9M,2900000,408.3K,408300,1.2K,1200,1.1K,1100
sebbylaz,Seb Laz,4.1M,4100000,1.8M,1800000,238.6K,238600,5.5K,5500,894,894
r___.89,𝑀𝑖𝑠𝑡𝑒𝑟 𝑅𝑒𝑒𝑚𝑎 😾✨.,3.5M,3500000,1.8M,1800000,299.8K,299800,3.8K,3800,1.3K,1300
anwar,Anwar Jibawi,11.7M,11700000,2.5M,2500000,275.9K,275900,1.3K,1300,2.5K,2500
blake.snider,Blake Snider,4.6K,4600,2.8M,2800000,150.7K,150700,967,967,5.5K,5500
alejwho,Alejandro,983.5K,983500,1.5M,1500000,279.1K,279100,2.5K,2500,4.1K,4100
anitta,Anitta,17.2M,17200000,3.8M,3800000,263.4K,263400,1.6K,1600,1K,1000
tangychu,Танги штоле,20.9K,20900,1.3M,1300000,259.4K,259400,2.1K,2100,5.7K,5700
newt,newt,9.4M,9400000,2.3M,2300000,378.5K,378500,1.4K,1400,1.6K,1600
brookemonk_,Brooke Monk,19M,19000000,2.7M,2700000,339.6K,339600,2K,2000,867,867
psg,psg,25.3M,25300000,2.7M,2700000,319.2K,319200,2.2K,2200,777,777
roy.0fficial,Roy.official,290.8K,290800,1.2M,1200000,108.4K,108400,432,432,19.6K,19600
nicollefigueroaa,Nicolle Figueroa,9.6M,9600000,2.5M,2500000,343K,343000,2.5K,2500,546,546
ucgj7,☝️Биполярочка👆,1.5M,1500000,1.8M,1800000,179.8K,179800,6.2K,6200,1.8K,1800
startup.mp4,startup.mp4,98K,98000,944.3K,944300,246.6K,246600,4.7K,4700,6.4K,6400
beca,Rebeca Barreto,21.9M,21900000,2.3M,2300000,297.7K,297700,3K,3000,819,819
glebpiano,Глеб Пьяных,457.3K,457300,3M,3000000,75K,75000,3.1K,3100,8.4K,8400
emilyfauver,emily&ella,3.3M,3300000,2.5M,2500000,377.9K,377900,1.3K,1300,1.5K,1500
mikaylanogueira,Mikayla Nogueira,11.2M,11200000,2.2M,2200000,323.8K,323800,3K,3000,657,657
ivanovik.83,ivanovik.1983,172.7K,172700,2.3M,2300000,91.5K,91500,1.1K,1100,11.1K,11100
francis.bourgeois,Francis Bourgeois,2.3M,2300000,2M,2000000,193K,193000,1.6K,1600,5K,5000
kaan.etm,Kaan,2.6M,2600000,2M,2000000,358.4K,358400,2.8K,2800,807,807
ramonvitor,ramonvitor,2.2M,2200000,1.8M,1800000,397.9K,397900,2.5K,2500,1.1K,1100
imreddtv,REDD,883.1K,883100,3.2M,3200000,190.8K,190800,1.2K,1200,3.1K,3100
scarlettsspam2,scarlett,1.1M,1100000,2.2M,2200000,204.7K,204700,4.5K,4500,1.2K,1200
siscakohl,Sisca Kohl,10.4M,10400000,2.6M,2600000,306.5K,306500,2.2K,2200,986,986
_andrewcurtiss,Andrew Curtis,2.4M,2400000,1.3M,1300000,274K,274000,4.8K,4800,2.5K,2500
_xndirizlky_,_xndi rizlky_,11.5K,11500,3.7M,3700000,166.5K,166500,2.2K,2200,1.8K,1800
kingmajesty_princessrose,Nelson and Rose,155K,155000,1.6M,1600000,109.6K,109600,1.3K,1300,13K,13000
serchexmx,Serchex,123.1K,123100,1.4M,1400000,265K,265000,2.9K,2900,3.7K,3700
hoaminzy_hoadambut,Hoà Minzy,4M,4000000,3.2M,3200000,345K,345000,1.8K,1800,423,423
samsung_guy,Callum,117.5K,117500,1.8M,1800000,237.2K,237200,4.9K,4900,850,850
arbooks__,Arbooks,392.1K,392100,2.1M,2100000,223.8K,223800,2.6K,2600,2.6K,2600
eduincaz5,Eduin Caz,5.2M,5200000,2.8M,2800000,278.7K,278700,1.2K,1200,1.9K,1900
agigigrigio,Giovanna Grigio,2M,2000000,3.6M,3600000,325K,325000,1.7K,1700,407,407
kienreview90,Kien Review,9.8M,9800000,4.5M,4500000,254.1K,254100,1.3K,1300,850,850
kallmewhateveryouwant,kallmewhateveryouwant,10.9M,10900000,1.8M,1800000,342.3K,342300,3.2K,3200,744,744
kopke613,kopke613,3.6M,3600000,1.1M,1100000,141.8K,141800,2.2K,2200,13.2K,13200
colewherld,colegonzales,4.9M,4900000,2.1M,2100000,297.2K,297200,696,696,3.2K,3200
zloinvfx,Stanislav Anisimov,135.8K,135800,3.3M,3300000,172.6K,172600,899,899,3.3K,3300
yordy_yor,Yordy_Yor,1.2M,1200000,3.8M,3800000,146.2K,146200,3.7K,3700,671,671
countingshleeps,blake,2.1M,2100000,1.7M,1700000,265.6K,265600,2.8K,2800,2.6K,2600
jasminechiswell,Jasmine Chiswell,15.2M,15200000,3.4M,3400000,404.4K,404400,1.5K,1500,212,212
fjerry,FJerry,3M,3000000,1.4M,1400000,109.5K,109500,3K,3000,12.6K,12600
roportajadam,Mahsun Karaca,930.1K,930100,2.7M,2700000,157K,157000,564,564,5.1K,5100
outtpig,Cameron Perez,1.6M,1600000,1.5M,1500000,350.2K,350200,2.2K,2200,2.3K,2300
qpark,Q Park,30.2M,30200000,3.2M,3200000,216K,216000,1.6K,1600,1.8K,1800
andcarli,Anderson Carli,6M,6000000,4.4M,4400000,234K,234000,1.8K,1800,500,500
mitzakoff,lucasmitzakoff,1.9M,1900000,1.3M,1300000,270.3K,270300,2.4K,2400,4.2K,4200
itsjojosiwa,JoJo Siwa,40.7M,40700000,3M,3000000,370.2K,370200,1.7K,1700,383,383
good.boy.ollie,Good Boy Ollie,2.8M,2800000,2.1M,2100000,344.3K,344300,1.1K,1100,2.1K,2100
alaa.ayyman,ALaa Ayman,8.2M,8200000,3.7M,3700000,364.6K,364600,820,820,935,935
jj_olatunji4,🇬🇧🇬🇧🇬🇧,1.6M,1600000,2.3M,2300000,334.6K,334600,591,591,2.4K,2400
leaelui,Lea Elui,17M,17000000,2.8M,2800000,375.9K,375900,1.1K,1100,1.2K,1200
innkastar,Innkastar,11.6M,11600000,2.6M,2600000,193.5K,193500,4K,4000,666,666
anilinom,anilinom,11.8M,11800000,10.6M,10600000,136.8K,136800,441,441,1.2K,1200
mileshampton,WilsonsHouse,140.3K,140300,1.3M,1300000,299.3K,299300,2.4K,2400,3.5K,3500
mastercorbuzier,Deddy Corbuzier,2.1M,2100000,3M,3000000,215.6K,215600,2.8K,2800,791,791
djraulitooficial,Dj Raulito,605.3K,605300,3.3M,3300000,167K,167000,715,715,3.5K,3500
brandonspam_,Brandon Conner,7.3M,7300000,2.2M,2200000,281.7K,281700,3.2K,3200,558,558
paulaverhoeven,Paula Verhoeven,997.5K,997500,4.9M,4900000,232.7K,232700,1.1K,1100,946,946
madisonpettis,Madison Pettis,2.6M,2600000,2.9M,2900000,493.5K,493500,1K,1000,603,603
arianagrande,arianagrande,26.6M,26600000,1.4M,1400000,333.9K,333900,3.9K,3900,963,963
vekalife24,vekalife,2.4M,2400000,1.5M,1500000,116.2K,116200,459,459,12.6K,12600
westbrouck,Mattie,8.6M,8600000,1.9M,1900000,423.1K,423100,2.2K,2200,655,655
the.big.mike,The Big Mike,71.5K,71500,1.5M,1500000,176.8K,176800,4.2K,4200,4K,4000
.mats.ftl,❤️‍🔥Лёша Мэтс❤️‍🔥,6.7K,6700,1.7M,1700000,210.2K,210200,1.7K,1700,4.6K,4600
bilalfadilii,Bilal Fadili,958.4K,958400,1.8M,1800000,210.4K,210400,2.3K,2300,3.7K,3700
jaydafnwayda,JAYDA WAYDA,3.2M,3200000,2.2M,2200000,333.4K,333400,1.2K,1200,1.9K,1900
vzelivx,vzelivx,731.3K,731300,2.1M,2100000,271.2K,271200,2.6K,2600,1.3K,1300
benoit_chevalier,Benoît Chevalier,8.7M,8700000,1.7M,1700000,180.9K,180900,3.1K,3100,4.2K,4200
ninogashi,NinoGashi,1.3M,1300000,1.8M,1800000,179.7K,179700,3.2K,3200,3.7K,3700
twice_tiktok_official,TWICE,13.9M,13900000,1.2M,1200000,223.8K,223800,6.5K,6500,1.8K,1800
beniju03,BENIJU,2.2M,2200000,1.6M,1600000,304.8K,304800,3.8K,3800,716,716
chourouk.model_official,Chourouk_model_official,4.4M,4400000,3.2M,3200000,270.5K,270500,897,897,1.7K,1700
shabiraalulaadnan,Shabiraalula&Ayah,5.1M,5100000,3.2M,3200000,256.4K,256400,1.5K,1500,1.2K,1200
ryskalamarcysia,ryskalamarcysia,1.8M,1800000,3.1M,3100000,360.9K,360900,1.6K,1600,403,403
namyulenka,Namy,6M,6000000,2M,2000000,366.2K,366200,2.1K,2100,901,901
tu.terapeuta.en.tiktok,Leandro Olszanski,1.6M,1600000,1.6M,1600000,328.5K,328500,1.9K,1900,2.3K,2300
devincaherly,Devin Caherly,6.9M,6900000,3.6M,3600000,406.6K,406600,1.3K,1300,213,213
itsmatheuscosta,Matheus Costa,4.3M,4300000,2.1M,2100000,235.3K,235300,1.7K,1700,2.8K,2800
virguleanimaleshow,VirguleAnimaleShow,850K,850000,1.2M,1200000,190.8K,190800,1.8K,1800,7.7K,7700
vtkh2004,Vũ Thị Khánh Huyền,7.7M,7700000,2.6M,2600000,321.4K,321400,2K,2000,588,588
mateuspesce,Pesce,5.7M,5700000,1.7M,1700000,254.9K,254900,2K,2000,3K,3000
how.kev.eats,how.kev.eats,1.8M,1800000,2.5M,2500000,323K,323000,1.8K,1800,926,926
zubarefff,Зубарев Александр,2.9M,2900000,2M,2000000,300.1K,300100,1.7K,1700,1.9K,1900
vancityreynolds,Ryan Reynolds,19.7M,19700000,2.3M,2300000,282.8K,282800,1.6K,1600,1.7K,1700
clecolucci,Clé Colucci,2.9M,2900000,935.1K,935100,165K,165000,9.4K,9400,4.5K,4500
mr.v1bez,MR.VIBEZ,853K,853000,1.4M,1400000,364.2K,364200,1.9K,1900,2.3K,2300
nosoychaparro,Luis Chaparro,2.8M,2800000,2.1M,2100000,360.3K,360300,2.5K,2500,320,320
lilyxgarcia,Lily Garcia,8.9M,8900000,1.8M,1800000,418.2K,418200,1.9K,1900,906,906
juanpazurita,Juanpa Zurita,12.8M,12800000,3.3M,3300000,397.7K,397700,804,804,782,782
juandaniel.ibarra,Daniel Ibarra,26.6M,26600000,3.3M,3300000,353.7K,353700,1.4K,1400,406,406
juandaniel.ibarra,Daniel Ibarra,26.6M,26600000,3.3M,3300000,353.7K,353700,1.4K,1400,406,406
maddiebools,Maddie,52.9K,52900,1.7M,1700000,99.6K,99600,3.6K,3600,8.9K,8900
abir.sag,Abir e sag,11M,11000000,2.5M,2500000,176.9K,176900,2.9K,2900,1.7K,1700
lexychaplin,Lexy,3M,3000000,2M,2000000,308.2K,308200,2.7K,2700,595,595
mich_gzl,Michelle González,538.3K,538300,3.1M,3100000,220.6K,220600,730,730,2.2K,2200
more.annapaul,More Anna,1.5M,1500000,2.7M,2700000,447.8K,447800,1.3K,1300,418,418
ktlynraps,Ktlyn,1.9M,1900000,2.1M,2100000,226.7K,226700,2K,2000,2.3K,2300
yano4kaa.aaa,Yano4kaa.aa,3M,3000000,1.7M,1700000,267.1K,267100,2.2K,2200,2.3K,2300
baga..genius,Молодой Гений,721.6K,721600,1.9M,1900000,279.7K,279700,1.7K,1700,2.2K,2200
lelepons,Lele Pons,26.8M,26800000,2.2M,2200000,307.4K,307400,1.9K,1900,1.1K,1100
n.vv3,ناصر || 🇸🇦 alsubaie ..,1.9M,1900000,3.3M,3300000,158K,158000,3.2K,3200,642,642
flakeysalt,Joshua weissman,6.2M,6200000,2.5M,2500000,352.9K,352900,664,664,1.6K,1600
kikakiim,Kika Kim,29.5M,29500000,2.2M,2200000,296K,296000,2.2K,2200,918,918
emilymariko,Emily Mariko,10.1M,10100000,3M,3000000,321.7K,321700,1.3K,1300,766,766
milos.guzel,Milos,4.8M,4800000,1.9M,1900000,425.5K,425500,1.7K,1700,774,774
hashbrotatoes,H&SH Brotatoes,390.1K,390100,2.2M,2200000,342.6K,342600,1.4K,1400,1.3K,1300
diana_aster,💗 DIANA ASTER 💗,10.4M,10400000,2.7M,2700000,337.4K,337400,1.8K,1800,417,417
gabrielabee,GABI BEE,9.3M,9300000,1.2M,1200000,248K,248000,5.5K,5500,1.2K,1200
igorjansen,igorjansen,10.6M,10600000,2.2M,2200000,275.7K,275700,2.4K,2400,953,953
ifluent,iFluent,2.8M,2800000,1.6M,1600000,174.5K,174500,4K,4000,3.1K,3100
mateus_hwang,Mateus Hwang,1.9M,1900000,2.1M,2100000,139.6K,139600,5.7K,5700,1.2K,1200
taimmm8,888,1M,1000000,2M,2000000,318.8K,318800,1.5K,1500,1.6K,1600
mandrake1984real,Giuseppe Mandrake Ninno,883.8K,883800,1.4M,1400000,180.4K,180400,982,982,7K,7000
lisav_,ну лиз,1.9M,1900000,1.9M,1900000,370.7K,370700,1.3K,1300,1.4K,1400
chadio,Chad Epps 🦒,6.9M,6900000,1.5M,1500000,240.4K,240400,3.6K,3600,1.7K,1700
rachyohumlek,รัชโยตัวปลอมนอกนั้นจริงหมด,1.6M,1600000,4.1M,4100000,349.7K,349700,951,951,397,397
aiki_kr,아이키 Aiki,1.8M,1800000,1.7M,1700000,363.2K,363200,2K,2000,1.1K,1100
itsmenicksmithy,Nick Smithyman 🤓,6.4M,6400000,1.5M,1500000,265K,265000,3.1K,3100,1.9K,1900
alexiatamiraa,🍓Alexia Tamira🍓,7.5M,7500000,2.3M,2300000,312K,312000,2.2K,2200,479,479
v1ctoryuh3.0,sexy lady,1.6M,1600000,1.6M,1600000,303.1K,303100,1.7K,1700,2.2K,2200
taavmaki,Taav,686.9K,686900,1.3M,1300000,217.2K,217200,2.7K,2700,4K,4000
esnyrdump,esnyrdump,603.8K,603800,1.8M,1800000,271.6K,271600,2.2K,2200,1.9K,1900
andersonprofetaa,Anderson Profeta,2.5M,2500000,1.2M,1200000,151.7K,151700,2.2K,2200,8.2K,8200
jason.nms,Jayway,652.6K,652600,1.5M,1500000,254.9K,254900,2.4K,2400,2.5K,2500
cassholland,Cassie Holland,1.5M,1500000,2M,2000000,381.9K,381900,1.5K,1500,917,917
pokrov,АНЯ ПОКРОВ🥑,16.3M,16300000,2.2M,2200000,287.6K,287600,2.1K,2100,895,895
rhyadmuslim,Rhyad ☝️,344K,344000,1M,1000000,222.2K,222200,2.4K,2400,5.8K,5800
bretmanrock,bretmanrock,14M,14000000,2.6M,2600000,361.8K,361800,1.5K,1500,492,492
alvesdudas,mariê,855.7K,855700,1.4M,1400000,349.9K,349900,2.1K,2100,1.8K,1800
monika.kociolek,Monika Kociołek,2.6M,2600000,1.2M,1200000,196.8K,196800,6.6K,6600,1.3K,1300
sanae33359,San AE,1.7M,1700000,2.7M,2700000,224.1K,224100,1.2K,1200,1.9K,1900
iben_ma,Iben M.A.,5.6M,5600000,2.5M,2500000,191.8K,191800,3.5K,3500,455,455
fes.ti_,festi,1.2M,1200000,1.2M,1200000,264.1K,264100,3.6K,3600,2.3K,2300
imanthonyvargas,Anthony Vargas,6.5M,6500000,1.9M,1900000,341.4K,341400,2.6K,2600,268,268
wicsur,♥️БИСКАС♥️,7M,7000000,1.6M,1600000,126.5K,126500,8.9K,8900,248,248
sxmplyni,Simply Ni🌱,1.6M,1600000,2.6M,2600000,248.8K,248800,1.4K,1400,1.4K,1400
itsqcp,QCP,9.4M,9400000,2.5M,2500000,371.3K,371300,1.1K,1100,888,888
ssanwhere,hassan,369.4K,369400,1.3M,1300000,237.8K,237800,3.1K,3100,3.1K,3100
lizzebethmuaa,Lizzebethmuaa,3.6M,3600000,3.6M,3600000,357.1K,357100,721,721,705,705
crispy,Crispy Concords,1.2M,1200000,2.9M,2900000,400K,400000,986,986,593,593
blythe,Andrea Brillantes,17.3M,17300000,2.3M,2300000,382.5K,382500,1.2K,1200,960,960
kmiloop,Kmilooo,796.9K,796900,1.2M,1200000,228.2K,228200,1.3K,1300,5.6K,5600
ilhamputrayuda,Ilham Yuda,1.6M,1600000,2.8M,2800000,326.3K,326300,1.2K,1200,814,814
anyaischuk,Anya Ischuk,10.5M,10500000,2.7M,2700000,317.2K,317200,1.8K,1800,341,341
diegodiego_,Diego Cruz,7.2M,7200000,2.1M,2100000,258.5K,258500,1.8K,1800,1.6K,1600
winnermaxyt,WinnerMax,1.8M,1800000,2.5M,2500000,220.2K,220200,968,968,2.3K,2300
rafaelsantos,Rafael Santos,16.7M,16700000,1.8M,1800000,289.7K,289700,2.7K,2700,736,736
lkzinhu,LK,14.3M,14300000,2.4M,2400000,346.9K,346900,1.2K,1200,998,998
mercuri_88,Manuel Mercuri,19M,19000000,2.7M,2700000,238.7K,238700,1.6K,1600,1.2K,1200
saxcy,saxcy,747.2K,747200,2.6M,2600000,271.5K,271500,1.3K,1300,1.3K,1300
mdmotivator,Zachery Dereniowski,6.2M,6200000,2.5M,2500000,357.1K,357100,1.4K,1400,599,599
c.tangana,C. Tangana,372.1K,372100,4.4M,4400000,200.3K,200300,735,735,1.3K,1300
nuhchez,Nuhchez,5.7M,5700000,1.7M,1700000,248.5K,248500,2K,2000,2.2K,2200
mieayamthebstt,Unaa🍜,13M,13000000,2.4M,2400000,264.7K,264700,2K,2000,827,827
ayutingting,Ayu Ting Ting,5.8M,5800000,2.4M,2400000,176.4K,176400,2.1K,2100,2.1K,2100
yailinlamasviraloficial_,Yailin La Más Viral,2.8M,2800000,2.5M,2500000,210K,210000,3K,3000,365,365
sehataqua,SehatAQUA,249.3K,249300,23.3M,23300000,67.4K,67400,647,647,467,467
jordanemel,Jordan e Mel,8.7M,8700000,2.4M,2400000,183.6K,183600,1K,1000,3K,3000
gingerbilly1,GingerBilly1,5.7M,5700000,1.1M,1100000,163.7K,163700,954,954,8.7K,8700
samkamusic,INSTASAMKA,12.4M,12400000,1.8M,1800000,227.9K,227900,2.7K,2700,1.5K,1500
jaxwritessongs,Jax,8.3M,8300000,1.9M,1900000,220.1K,220100,2.8K,2800,1.5K,1500
sthefane.matos,Sthefane Matos,5.1M,5100000,3.2M,3200000,261.7K,261700,1.4K,1400,603,603
son0_0,손새벽,2.7M,2700000,3.9M,3900000,216.8K,216800,1.5K,1500,514,514
flickerspark_,flickerspark_,1.2M,1200000,1.7M,1700000,446.7K,446700,1.2K,1200,1.1K,1100
kostyxd,Sergi Cabrer,2.1M,2100000,2.1M,2100000,290.9K,290900,1.7K,1700,1.1K,1100
mahalinzi,Mahalini Raharja,655.5K,655500,2.7M,2700000,251.9K,251900,1.6K,1600,917,917
jesusangelperezoficial,🚨 ESE PÉREZ 🚨,3.5M,3500000,1.7M,1700000,186.5K,186500,898,898,4.6K,4600
tarankaaa,Dasha Taran,8M,8000000,1.7M,1700000,283.4K,283400,2.4K,2400,1K,1000
its.michhh,Michel Chavez,28.6M,28600000,2.2M,2200000,340.4K,340400,1.9K,1900,369,369
aileenchristineee,Aileenchristineee,5.6M,5600000,1.7M,1700000,310K,310000,1.1K,1100,2.1K,2100
mads.yo,Madison,12.7M,12700000,3.1M,3100000,322.9K,322900,954,954,710,710
itstalasafwan,تالا صفوان | Tala Safwan🌵👸🏽,3.7M,3700000,2.1M,2100000,138.2K,138200,5.2K,5200,502,502
karenos11,𝐊𝐚𝐫𝐞𝐧 𝐎𝐬,6.1M,6100000,2M,2000000,367.2K,367200,2K,2000,242,242
jojohfsex,fullhyp3,1.6M,1600000,1.4M,1400000,262.1K,262100,2.7K,2700,1.8K,1800
nansartt,nansartt,1.3M,1300000,2.1M,2100000,422.7K,422700,1.4K,1400,456,456
aviranisha,Avira Nisha,3.6M,3600000,2.5M,2500000,310.6K,310600,1.8K,1800,344,344
03emergenxy,meyes not mayes,432.5K,432500,3.4M,3400000,215.9K,215900,1.7K,1700,561,561
nuun____,Nuun 🍂,271.8K,271800,651.6K,651600,118.1K,118100,1.5K,1500,20K,20000
iloveyourmomscatt,,8.2K,8200,1.3M,1300000,159.3K,159300,4.9K,4900,3.3K,3300
thongsoaicavip,Thông Soái Ca,1.6M,1600000,2.7M,2700000,172K,172000,2.6K,2600,971,971
ivanantoniochacon,Tik Toker,7.2M,7200000,1.3M,1300000,461.6K,461600,1.9K,1900,806,806
jhekhoos,Jecus Andrei,3.8M,3800000,1.9M,1900000,235.9K,235900,1.3K,1300,2.4K,2400
kimpeeee,Kim Lajara,5.8M,5800000,3.4M,3400000,298.5K,298500,507,507,1.1K,1100
birdsarentreal,Birds Aren’t Real,852.8K,852800,1.5M,1500000,263.5K,263500,2.4K,2400,1.8K,1800
markoterzo,M A R K O,2.5M,2500000,1.8M,1800000,168.7K,168700,4.2K,4200,1.2K,1200
nnatalieaguilar,natalie & the aguilars,4.2M,4200000,2.8M,2800000,373.6K,373600,702,702,845,845
halinhofficial,Ha Linh Official,1M,1000000,2.6M,2600000,187.3K,187300,2.8K,2800,604,604
sosiadoneymar,Eigon Oliver,6M,6000000,2.5M,2500000,179.9K,179900,1.8K,1800,1.8K,1800
saadradio,Saad,1.7M,1700000,3.4M,3400000,260.2K,260200,1.2K,1200,670,670
leleburnier,LELÊ BURNIER,1.4M,1400000,1.4M,1400000,326K,326000,2.7K,2700,958,958
thelandofboggs,The Land Of Boggs,5.2M,5200000,2.6M,2600000,367.7K,367700,857,857,829,829
yuna1_27,🐚Yuna_유나🤍,2.2M,2200000,1.6M,1600000,291K,291000,1.4K,1400,2K,2000
abaas_majid_,عباس ماجد,2M,2000000,2.1M,2100000,206.9K,206900,2.2K,2200,1.5K,1500
muhammetalisarii,Muhammet Ali Sarı,264.1K,264100,2.9M,2900000,128.4K,128400,1.4K,1400,3K,3000
theluciole,Luciole,955K,955000,1.7M,1700000,395.2K,395200,2K,2000,428,428
dafaatmja,Dafaatmja,9.9M,9900000,2M,2000000,162.6K,162600,4.1K,4100,856,856
pushistyk,VL,13.3K,13300,1.9M,1900000,272.2K,272200,1.6K,1600,1.6K,1600
juliano,julianofloss,6.7M,6700000,2.1M,2100000,306.7K,306700,1.6K,1600,851,851
nicholas_crown,Nicholas Crown,1.6M,1600000,2.9M,2900000,490.5K,490500,863,863,262,262
oipedrodaher,Pedro Daher,3.1M,3100000,1.1M,1100000,206.6K,206600,1.8K,1800,5.1K,5100
jimena.jimenezr,Jimena,22.8M,22800000,1.7M,1700000,311.7K,311700,1K,1000,2K,2000
mellacarli,Mella Carli,1.7M,1700000,1.4M,1400000,220.5K,220500,2.1K,2100,3K,3000
viktoriya__bars,Viktoriya Bars,139.7K,139700,1.3M,1300000,56.6K,56600,2.2K,2200,19.4K,19400
missmarymmouser,missmarymmouser,2.9M,2900000,1.9M,1900000,255.5K,255500,2.7K,2700,570,570
coleandersonj,Cole Anderson James,1.5M,1500000,1.6M,1600000,280.5K,280500,1.2K,1200,2.3K,2300
pumbacaracal,PumbaCaracal,3.5M,3500000,2.1M,2100000,130.9K,130900,3.3K,3300,2.6K,2600
the_green_car,The Green Car,168.8K,168800,4.3M,4300000,339.8K,339800,662,662,417,417
providingforthecommunity,Russel Cameron,313.6K,313600,1.6M,1600000,114.6K,114600,5.5K,5500,3.4K,3400
hannahstocking,Hannah Stocking,25.9M,25900000,3M,3000000,338.4K,338400,967,967,582,582
pk.99999,PHUKLA,1.2M,1200000,1.5M,1500000,288.2K,288200,1.7K,1700,1.9K,1900
lilchefmil,Milan Bhayana,861.1K,861100,3M,3000000,501.1K,501100,678,678,367,367
jeremylynch,JeremyLynch,18.6M,18600000,1.7M,1700000,248K,248000,2.6K,2600,1.2K,1200
ph1lzatiktok,Ph1LzA,2.2M,2200000,980.5K,980500,309.2K,309200,4K,4000,1.1K,1100
jack_papho69,แจ็ก แปปโฮ,6.3M,6300000,2.8M,2800000,344.1K,344100,766,766,862,862
cesarpantoja.n,Cesar Pantoja,12.4M,12400000,2M,2000000,305.4K,305400,2.2K,2200,317,317
yajanaaa,Yajana Cano,5M,5000000,1.5M,1500000,255.3K,255300,767,767,3.3K,3300
dilaraaduman,Dilara Duman,1.9M,1900000,3.4M,3400000,175.8K,175800,653,653,2K,2000
justinbieber,Justin Bieber,23.6M,23600000,1.7M,1700000,197.5K,197500,3.2K,3200,1.4K,1400
lukedonkin,Luke Donkin,2.3M,2300000,1.5M,1500000,199K,199000,2.9K,2900,2.3K,2300
alexxxxan,котик,1.7M,1700000,1.7M,1700000,307.5K,307500,831,831,2.1K,2100
monsieurpof,Monsieur Pof,2.8M,2800000,1.7M,1700000,340.6K,340600,1.8K,1800,938,938
dennnyn,DENII,3.3M,3300000,1M,1000000,136.4K,136400,773,773,10.5K,10500
lauratheux,Laura Theux,208.3K,208300,3.5M,3500000,234.7K,234700,846,846,1K,1000
com.hyuga1117,【コムドット】 ひゅうが,995.5K,995500,1.2M,1200000,199.8K,199800,4.9K,4900,1.5K,1500
robegrill,Roberto Morales,10.2M,10200000,1.9M,1900000,209.5K,209500,1.1K,1100,2.7K,2700
emoglam,емоglaм,1.5M,1500000,2.7M,2700000,307.3K,307300,1K,1000,806,806
luvtheflex,taryn,1.4M,1400000,1.9M,1900000,156.9K,156900,3.8K,3800,1.3K,1300
jombospice,JOMBOSPICE,7.2M,7200000,2.5M,2500000,239.8K,239800,1.9K,1900,617,617
rusuh_brooo,RUSUH BROOO,27.5K,27500,840.6K,840600,150.8K,150800,1.5K,1500,10.4K,10400
shandyjuragan99,Shandyjuragan99,1.1M,1100000,3M,3000000,183.5K,183500,1.9K,1900,869,869
pjmxck,𝐂𝐡𝐢𝐤𝐚⁷,1M,1000000,738.7K,738700,263.2K,263200,2.7K,2700,5K,5000
kamashrafi,kamran,48.2K,48200,1.2M,1200000,231.6K,231600,2.6K,2600,2.8K,2800
najihmumtaz,Najih Mumtaz945,682.3K,682300,1.6M,1600000,93.9K,93900,4.5K,4500,5.5K,5500
chelseahartisme,Chelsea Hart,1.5M,1500000,3.5M,3500000,138.9K,138900,0,0,3.1K,3100
gheayoubi08,Gheayoubi,7.9M,7900000,3.2M,3200000,171.1K,171100,1.2K,1200,1.6K,1600
annaxsitar,anna x,11.6M,11600000,3M,3000000,461.2K,461200,723,723,381,381
y.i.m_,Отборный юмор и комедия 🎭,177.5K,177500,1.4M,1400000,121.3K,121300,1.2K,1200,7.7K,7700
