Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
m.wardy_14,وردى,67.6K,67600,1.9M,1900000,465.5K,465500,3.8K,3800,24.8K,24800
ynchq,ЯN,3.7M,3700000,3.9M,3900000,645.1K,645100,4.1K,4100,5.8K,5800
nilered,NileRed,8.7M,8700000,4M,4000000,725.8K,725800,5.4K,5400,3.2K,3200
besttoks,besttoks,2.2M,2200000,17.4M,17400000,451.6K,451600,1.1K,1100,2.1K,2100
miketoks,Miketoks,11.6M,11600000,6.2M,6200000,599.7K,599700,2.5K,2500,4K,4000
tiktokmena,TikTok MENA,5.7M,5700000,39.5M,39500000,179.2K,179200,1.2K,1200,2.2K,2200
eyavanana,Eya,10.8M,10800000,4.6M,4600000,725.3K,725300,5K,5000,2.1K,2100
john.leitao,John Leitão,2.7M,2700000,4.3M,4300000,380.9K,380900,7.8K,7800,6.4K,6400
brunodiferente2022,Bruno Diferente,4M,4000000,6.6M,6600000,116.7K,116700,6K,6000,22.4K,22400
sugarcoatedsisters,Tabby and Chloe,320.3K,320300,3.2M,3200000,523.8K,523800,2.6K,2600,10.5K,10500
hesfinatia,PINAT🍅|| IG: @hesfinatia,8.3M,8300000,8.6M,8600000,936.9K,936900,1.8K,1800,837,837
vadik_dikiy,vadik_dikiy,914.8K,914800,3.2M,3200000,489.1K,489100,2K,2000,11.8K,11800
championsleague,Champions League,11.6M,11600000,3.6M,3600000,628.3K,628300,4.2K,4200,5.1K,5100
esnyrrr,Esnyr Ranollo,4.4M,4400000,3.5M,3500000,645.3K,645300,4.5K,4500,4.8K,4800
savanahmosss,Savanah Moss,9.3M,9300000,4.5M,4500000,703K,703000,4.1K,4100,2.5K,2500
dindahw14,Dinda Hauw,3M,3000000,7.9M,7900000,689.2K,689200,2K,2000,1.8K,1800
joshiiwuhhh,Joshua Alden,3.2M,3200000,2.9M,2900000,555.5K,555500,3.7K,3700,8.8K,8800
j3ipy_,Jeipy,7.8M,7800000,4.3M,4300000,760.7K,760700,3.3K,3300,2.8K,2800
morganpresleyxo,Morgan Presley,5.3M,5300000,4.8M,4800000,638.5K,638500,3.1K,3100,3.5K,3500
skaijackson,Skai Jackson 🥰,19.7M,19700000,5.2M,5200000,824K,824000,3.1K,3100,1.5K,1500
ssmaaaryy,Razi Monroe,6.8M,6800000,6.4M,6400000,586.3K,586300,2.8K,2800,2.4K,2400
vhackerr,Vinnie,13.9M,13900000,2.9M,2900000,593.7K,593700,7.8K,7800,3.6K,3600
tranvantre992,Trần Tre Vlogs 🐉,759.3K,759300,9.1M,9100000,472.9K,472900,3.7K,3700,799,799
jwaltonnn,ᴊ⚡️,733.4K,733400,1.7M,1700000,369.4K,369400,28K,28000,2.5K,2500
kubenjoy,KUBenjoy,3.5M,3500000,4.2M,4200000,476.3K,476300,5K,5000,4.5K,4500
jdiasss_,João Dias,7M,7000000,3.5M,3500000,817K,817000,4.5K,4500,2K,2000
evcnoble,Everett Noble,9.8M,9800000,3.4M,3400000,844.5K,844500,3.2K,3200,3.4K,3400
victormelo,Victor Melo,19.4M,19400000,4.6M,4600000,642.2K,642200,3.8K,3800,2.4K,2400
emilen_im,Эмильен,4M,4000000,5.3M,5300000,663.1K,663100,4K,4000,1.2K,1200
ehlija,Eh Lija,3.3M,3300000,4M,4000000,506K,506000,4.7K,4700,4.3K,4300
thoriqhal,thariqhalilintar,3.8M,3800000,5.8M,5800000,662K,662000,2.4K,2400,2.2K,2200
afgsuga,Afg Suga Official,161.7K,161700,3.3M,3300000,490.3K,490300,4.1K,4100,6.8K,6800
jen_wolff,jenny,187.6K,187600,2.9M,2900000,371.6K,371600,5.7K,5700,10.5K,10500
tubbynugget,Tubby Nugget,3.5M,3500000,2.6M,2600000,518.2K,518200,2.1K,2100,10.8K,10800
rescuerestore,Rescue & Restore,1.5M,1500000,9.2M,9200000,430K,430000,1.5K,1500,2.9K,2900
baddest4bitches,Edda,1.5M,1500000,2.5M,2500000,580.2K,580200,8.5K,8500,3.4K,3400
_itsstefano_,It'sStefano,4.4M,4400000,4.6M,4600000,553.8K,553800,5.8K,5800,856,856
guryan_off,Гурьянов Максим,2.6M,2600000,3.3M,3300000,479.5K,479500,3.1K,3100,7.7K,7700
thebenjishow,benji,5.5M,5500000,3.4M,3400000,549.6K,549600,3.8K,3800,5.2K,5200
mikaelatesta,Mikaela Testa,1.7M,1700000,4.3M,4300000,960.3K,960300,3.3K,3300,749,749
grillervm,GrillerVM,2.9M,2900000,4.3M,4300000,549.3K,549300,2.9K,2900,4K,4000
riaricis,Ria Ricis,25.5M,25500000,5.5M,5500000,665.1K,665100,2.2K,2200,2.1K,2100
lizzza,Liza Koshy,29.4M,29400000,5.2M,5200000,1.2M,1200000,1.9K,1900,616,616
elmarianaa,ElMariana,6.5M,6500000,3.8M,3800000,834.8K,834800,1.6K,1600,3.3K,3300
somi_official_,JEON SOMI,6.1M,6100000,3M,3000000,746.3K,746300,4.6K,4600,2.3K,2300
craggygames,Craggy Games,306.8K,306800,7M,7000000,189.3K,189300,726,726,10.9K,10900
gritside,gritside,3.6M,3600000,3.5M,3500000,446.4K,446400,1.5K,1500,8.3K,8300
charlieputh,Charlie Puth,16.1M,16100000,3.5M,3500000,509.1K,509100,5.8K,5800,2.6K,2600
spencer_serafica,Xspencer,12.3M,12300000,4M,4000000,663.2K,663200,4.1K,4100,1.6K,1600
mikaylahau,Mikaylah,4.2M,4200000,3M,3000000,386.4K,386400,9.9K,9900,3.2K,3200
kevinprieto077,kevinprieto077,1.8M,1800000,3.8M,3800000,589.3K,589300,3.4K,3400,3.1K,3100
christianfabiannn,Christian Fabián D.,12M,12000000,4.8M,4800000,733.2K,733200,3.7K,3700,398,398
brotherofcolor,Heyimparis,12.7M,12700000,5M,5000000,609.5K,609500,3.6K,3600,1.1K,1100
gavrilinaa,Юлька Шпулька🕷🕸,16.3M,16300000,3.9M,3900000,522.2K,522200,4K,4000,3K,3000
phun.anh,Phùn Anh,2.7M,2700000,6.8M,6800000,374.2K,374200,3.8K,3800,1.7K,1700
tooturnttony,Tooturnttony,15.6M,15600000,5.4M,5400000,464.6K,464600,2.8K,2800,2.8K,2800
baimwong,Baim Wong,7.5M,7500000,5.1M,5100000,392.4K,392400,3.7K,3700,3.3K,3300
maxtaylorlifts,Max Taylor,7.6M,7600000,3M,3000000,529K,529000,4.4K,4400,4.5K,4500
kimberly11sofia,✨Kimberly11sofia✨,576.6K,576600,1.9M,1900000,208K,208000,27K,27000,7.8K,7800
lourdasprec,LOURD,8.7M,8700000,2.4M,2400000,592.1K,592100,5.3K,5300,4.3K,4300
katiavlogss,KATIAVLOGS🐒,13.8M,13800000,4.6M,4600000,638.2K,638200,3.5K,3500,1.1K,1100
itslennnie,lennnie,1.9M,1900000,1.9M,1900000,319.2K,319200,2.4K,2400,20K,20000
couragejd,Jack CouRage Dunlop,3.1M,3100000,3.4M,3400000,391.5K,391500,2.9K,2900,7.1K,7100
karimmahmoudabdelaziz,Karim Mahmoud Abdel Aziz,3.4M,3400000,5.3M,5300000,375.6K,375600,2.5K,2500,4.1K,4100
jbdjebb,Jean-Baptiste Djebbari,1.1M,1100000,2.9M,2900000,448.6K,448600,6.2K,6200,3.8K,3800
dailymug69,It’s a sad story...,4.2M,4200000,4.1M,4100000,544.2K,544200,5.6K,5600,251,251
superfirsthero,СУПЕРПЕРВЫЙГЕРОЙ,1.6M,1600000,2.8M,2800000,526.1K,526100,4.4K,4400,4.5K,4500
cookingwithlynja,Lynja,9.9M,9900000,5.2M,5200000,649K,649000,2.5K,2500,1.4K,1400
gordonramsayofficial,Gordon Ramsay,31.7M,31700000,5.7M,5700000,557.2K,557200,3.2K,3200,835,835
nabela,nabela,7.2M,7200000,5.4M,5400000,627.1K,627100,2.6K,2600,1.2K,1200
alexwaarren,Alex warren,15.2M,15200000,4.6M,4600000,769K,769000,1.3K,1300,2.3K,2300
ayesebastien,Sebastien,7.2M,7200000,3.1M,3100000,565.3K,565300,2.8K,2800,4.6K,4600
